CO(GT),PT08.S1(CO),NO2(GT),PT08.S4(NO2),T,RH,AH,day,year,quarter,weekday,label
2.6,1360.0,113.0,1692.0,13.6,48.9,0.7578,10.0,2004.0,1.0,2.0,3
2.0,1292.0,92.0,1559.0,13.3,47.7,0.7255,10.0,2004.0,1.0,2.0,3
2.2,1402.0,114.0,1555.0,11.9,54.0,0.7502,10.0,2004.0,1.0,2.0,3
2.2,1376.0,122.0,1584.0,11.0,60.0,0.7867,10.0,2004.0,1.0,2.0,3
1.6,1272.0,116.0,1490.0,11.2,59.6,0.7888,10.0,2004.0,1.0,2.0,3
1.2,1197.0,96.0,1393.0,11.2,59.2,0.7848,10.0,2004.0,1.0,2.0,2
1.2,1185.0,77.0,1333.0,11.3,56.8,0.7603,11.0,2004.0,1.0,3.0,2
1.0,1136.0,76.0,1333.0,10.7,60.0,0.7702,11.0,2004.0,1.0,3.0,2
0.9,1094.0,60.0,1276.0,10.7,59.7,0.7648,11.0,2004.0,1.0,3.0,2
0.6,1010.0,109.0,1235.0,10.3,60.2,0.7517,11.0,2004.0,1.0,3.0,2
1.8,1011.0,34.0,1197.0,10.1,60.5,0.7465,11.0,2004.0,1.0,3.0,2
0.7,1066.0,28.0,1182.0,11.0,56.2,0.7366,11.0,2004.0,1.0,3.0,2
0.7,1052.0,48.0,1221.0,10.5,58.1,0.7353,11.0,2004.0,1.0,3.0,2
1.1,1144.0,82.0,1339.0,10.2,59.6,0.7417,11.0,2004.0,1.0,3.0,2
2.0,1333.0,112.0,1517.0,10.8,57.4,0.7408,11.0,2004.0,1.0,3.0,3
2.2,1351.0,101.0,1583.0,10.5,60.6,0.7691,11.0,2004.0,1.0,3.0,3
1.7,1233.0,98.0,1446.0,10.8,58.4,0.7552,11.0,2004.0,1.0,3.0,3
1.5,1179.0,92.0,1362.0,10.5,57.9,0.7352,11.0,2004.0,1.0,3.0,2
1.6,1236.0,95.0,1401.0,9.5,66.8,0.7951,11.0,2004.0,1.0,3.0,2
1.9,1286.0,112.0,1537.0,8.3,76.4,0.8393,11.0,2004.0,1.0,3.0,3
2.9,1371.0,128.0,1730.0,8.0,81.1,0.8736,11.0,2004.0,1.0,3.0,3
2.2,1310.0,126.0,1647.0,8.3,79.8,0.8778,11.0,2004.0,1.0,3.0,3
2.2,1292.0,131.0,1591.0,9.7,71.2,0.8569,11.0,2004.0,1.0,3.0,3
2.9,1383.0,135.0,1719.0,9.8,67.6,0.8185,11.0,2004.0,1.0,3.0,3
4.8,1581.0,151.0,2083.0,10.3,64.2,0.8065,11.0,2004.0,1.0,3.0,3
6.9,1776.0,172.0,2333.0,9.7,69.3,0.8319,11.0,2004.0,1.0,3.0,3
6.1,1640.0,165.0,2191.0,9.6,67.8,0.8133,11.0,2004.0,1.0,3.0,3
3.9,1313.0,136.0,1707.0,9.1,64.0,0.7419,11.0,2004.0,1.0,3.0,3
1.5,965.0,85.0,1333.0,8.2,63.4,0.6905,11.0,2004.0,1.0,3.0,2
